<oov> 1.0	oov
شاخوں 1.0	S_H A_A X O_O_N
توہم 1.0	T_D A V A H H U M
خلائی 1.0	X A L A_A I_I1
شیرخوار 1.0	S_H I_I1 R X A_A R
آفیشلز 1.0	A_A F I_I1 S_H A L Z
ضعیف 1.0	Z A I_I1 F
باتھو 1.0	B A_A T_D_H U_U
مرلی 1.0	M U R L I_I1
رافعہ 1.0	R A_A F I A_A
ایسے 1.0	A_E1 S A_Y
عشر 1.0	U S_H A R
سمگلنگ 1.0	S I M A G L I N_G
فوجیوں 1.0	F O_O D_Z I_I1 O_O_N
پڑیں 1.0	P A R_R A_Y_N
اٹھاؤ 1.0	U T_H A_A O_O
کام 1.0	K A_A M
کبھی 1.0	K A B_H I_I1
ڈیل 1.0	D A_E1 L
خود 1.0	X U D_D
پڑتا 1.0	P A R_R T_D A_A
دفتر 1.0	D_D A F T_D A R
قحط 1.0	Q A H T_D
اوصاف 1.0	O S A_A F
کنوینس 1.0	K A N V A_Y N S
ٹرانسفر 1.0	T A R A_A N S F A R
ادھیڑنے 1.0	U D_D_H A_Y R_R N A_Y
حاجی 1.0	H A_A D_Z I_I1
بھانجے 1.0	B_H A_A N D_Z A_Y
کمپنی 1.0	K A M P A N I_I1
شون 1.0	S_H U V A N
سنچری 1.0	S A N T_S1 R I_I1
وائرلیس 1.0	V A_A I R L A_Y S
بیلچہ 1.0	B A_Y L T_S1 A_A
لابنگ 1.0	L A_A B I N_G
اوڈ 1.0	O_O D
یوروپیئن 1.0	J O R O_O P I_I1 A N
قونصل 1.0	Q O N S A L
اٹھنے 1.0	U T_H N A_Y
شدھی 1.0	S_H U D_D_H D_D_H I_I1
دیکھی 1.0	D_D A_Y K_H I_I1
پایہ 1.0	P A_A J A_A
تمغے 1.0	T_D A M G_G A_Y
بچی 1.0	B A T_S1 I_I1
فلالین 1.0	F A L A_A L A_E1 N
بےقصور 1.0	B A_Y Q U S U_U R
مستغنی 1.0	M U S T_D A G_G N I_I1
بچنے 1.0	B A T_S1 N A_Y
چونچلے 1.0	T_S1 O_O N T_S1 L A_Y
سنگھ 1.0	S I N_G G_H
نرخوں 1.0	N I R X O_O_N
واحد 1.0	V A_A H I D_D
کوچوان 1.0	K O_O T_S1 V A_A N
بروکلی 1.0	B A R O K A L I_I1
قوس 1.0	Q O S
چوتھی 1.0	T_S1 O_O T_D_H I_I1
آمیزے 1.0	A_A M A_Y Z A_Y
ترجیح 1.0	T_D A R D_Z I_I1 H
ٹرین 1.0	T R A_Y N
والے 1.0	V A_A L A_Y
لکھنے 1.0	L I K_H N A_Y
انحطاط 1.0	I N H A_Y T_D A_A T_D
سعادت 1.0	S A A_A D_D A T_D
گلدستہ 1.0	G U L D_D A S T_D A_A
کاکلیں 1.0	K A_A K U L A_Y_N
گوشت 1.0	G O_O S_H T_D
گھورنے 1.0	G_H U_U R N A_Y
باغیچہ 1.0	B A_A G_G I_I1 T_S1 A_A
کہنا 1.0	K A_E_H H N A_A
حفظ 1.0	H I F Z
فرانسیسی 1.0	F A R A_A N S I_I1 S I_I1
ترقی 1.0	T_D A R A Q Q I_I1
سائبان 1.0	S A_A A_Y B A_A N
گوریلے 1.0	G O R I_I1 L A_Y
سیسے 1.0	S I_I1 S A_Y
گڑبڑ 1.0	G A R_R B A R_R
لائیوسٹاک 1.0	L A_A I_I1 V S A T A_A K
فیورٹ 1.0	F A_Y V A R I T
غذا 1.0	G_G I Z A_A
دوم 1.0	D_D U V A M
ڈھیر 1.0	D_H A_Y R
گوٹھ 1.0	G O_O T_H
لائن 1.0	L A_A I N
تفتیش 1.0	T_D A F T_D I_I1 S_H
زوجہ 1.0	Z O D_Z A_A
چمچہ 1.0	T_S1 A M T_S1 A_A
مہنگا 1.0	M A H N_G G A_A
پڑوسی 1.0	P A R_R O_O S I_I1
سوویں 1.0	S O_O V A_Y_N
مانجھے 1.0	M A_A_N D_Z_H A_Y
صورت 1.0	S U_U R A T_D
بخشش 1.0	B A X S_H I S_H
پڑھئے 1.0	P A R_R_H J A_Y
آسیہ 1.0	A_A S J A_A
ڈھا 1.0	D_H A_A
بینظیر 1.0	B A_Y N A Z I_I1 R
خشوع 1.0	X U S_H U_U
مہنگائی 1.0	M A H N_G G A_A I_I1
میڈیسن 1.0	M A_E1 D I_I1 S A N
مینگل 1.0	M A_E1 N_G G A L
مجلے 1.0	M A D_Z L A_Y
چابی 1.0	T_S1 A_A B I_I1
بااللہ 1.0	B I L L A_A H
ترجمانی 1.0	T_D A R D_Z U M A_A N I_I1
نفوس 1.0	N A F U_U S
گھڑی 1.0	G_H A R_R I_I1
ستانویں 1.0	S A T_D T_D A_A N V A_Y_N
نظرثانی 1.0	N A Z A R A_Y S A_A N I_I1
بعینہ 1.0	B I Y A_E1 N I H
صبحیں 1.0	S U B H A_Y_N
چیک 1.0	T_S1 I_I1 K
آرتھو 1.0	A_A R T_D_H O_O
خوف 1.0	X O F
پراجیکٹ 1.0	P A R A_A D_Z A_E1 K T
ستھرا 1.0	S U T_D_H R A_A
ہرگز 1.0	H A R G I Z
گندم 1.0	G A N D_D U M
میوہ 1.0	M A_Y V A_A
ایرانی 1.0	I_I1 R A_A N I_I1
فلسفے 1.0	F A L S A F A_Y
خودکشیوں 1.0	X U D_D K U S_H J O_O_N
دیتے 1.0	D_D A_Y T_D A_Y
پھل 1.0	P_H A L
پروجیکٹ 1.0	P A R O_O D_Z A_E1 K T
ٹھیکیدار 1.0	T_H A_Y K A_Y D_D A_A R
مودبانہ 1.0	M U A D_D D_D I B A_A N A_A
پرویا 1.0	P I R O_O J A_A
دھماکہ 1.0	D_D_H A M A_A K A_A
ایڈریس 1.0	A_E1 D R A_E1 S
تنزلی 1.0	T_D A N A Z Z U L I_I1
گذاروں 1.0	G U Z A R U_U_N
مشاغل 1.0	M A S_H A_A G_G I L
مرلہ 1.0	M A R L A_A
بڈھے 1.0	B U D D_H A_Y
اگلا 1.0	A G L A_A
ابو 1.0	A B U_U
فجور 1.0	F U D_Z U_U R
قصور 1.0	Q U S U_U R
منیجر 1.0	M A N A_Y D_Z A R
جوں 1.0	D_Z U_U_N
قدوقامت 1.0	Q A D_D O_O Q A_A M A T_D
ڈیجیٹل 1.0	D I_I1 D_Z I_I1 T A L
رینجرز 1.0	R A_Y N D_Z A R Z
بافتوں 1.0	B A_A F T_D O_O_N
مبلغین 1.0	M U B A L L I G_G I_I1 N
قضا 1.0	Q A Z A_A
نکلا 1.0	N I K L A_A
ہیوی 1.0	H A_E1 V I_I1
الیون 1.0	A L A_E1 V A N
سچل 1.0	S A T_S1 T_S1 A L
ڈھارس 1.0	D_H A_A R A S
مجذوب 1.0	M A D_Z Z U_U B
ڈاکوؤں 1.0	D A_A K U_U O_O_N
ریونیو 1.0	R A_E1 V I N I J U_U
نوڈلز 1.0	N U_U D A L Z
جیش 1.0	D_Z A_E1 S_H
معمولی 1.0	M A_A M U_U L I_I1
عقیل 1.0	A Q I_I1 L
دلبرداشتہ 1.0	D_D I L B A R D_D A_A S_H T_D A_A
معاندانہ 1.0	M U A_A N I D_D A_A N A_A
دوا 1.0	D_D A V A_A
یا 1.0	J A_A
وجوہات 1.0	V U D_Z U_U H A_A T_D
سابق 1.0	S A_A B I Q
مصداق 1.0	M I S D_D A_A Q
مخلوق 1.0	M A X L U_U Q
کچھوے 1.0	K A T_S_H V A_Y
شالا 1.0	S_H A_A L A_A
گھاؤ 1.0	G_H A_A O_O
بپھر 1.0	B I P_H A R
گے 1.0	G A_Y
چھڑیاں 1.0	T_S_H A R_R I J A_A_N
نادر 1.0	N A_A D_D I R
کوشاں 1.0	K O_O S_H A_A_N
لال 1.0	L A_A L
شعلوں 1.0	S_H O_O L O_O_N
قید 1.0	Q A_E1 D_D
ماؤتھ 1.0	M A U_U T_D_H
رسوئی 1.0	R A S O_O I_I1
مردانگی 1.0	M A R D_D A_A N_G G I_I1
پھیلنے 1.0	P_H A_E1 L N A_Y
غیریقینی 1.0	G_G A_E1 R J A Q I_I1 N I_I1
ہجران 1.0	H I D_Z R A_A N
گہر 1.0	G U H A R
بوچھاڑ 1.0	B O T_S_H A_A R_R
تضحیک 1.0	T_D A Z H I_I1 K
ٹائفائیڈ 1.0	T A_A I_I1 F A_A I D
عظمی 1.0	U Z M A_A
کچلا 1.0	K U T_S1 L A_A
ٹھیس 1.0	T_H A_Y S
سیٹھ 1.0	S A_Y T_H
بحرانی 1.0	B O_O_H H R A_A N I_I1
آئیں 1.0	A_A A_Y_N
کلیجی 1.0	K A L A_Y D_Z I_I1
شائع 1.0	S_H A_A A_Y
انٹیلیجینس 1.0	I N T A_E1 L I_I1 D_Z A_E1 N S
ارمغان 1.0	A R M U G_G A_A N
ٹریولرز 1.0	T A R A_E1 V L A R Z
ویلفئر 1.0	V A_E1 L F A_Y A R
لوگ 1.0	L O_O G
پرچم 1.0	P A R T_S1 A M
آتشبازی 1.0	A_A T_D I S_H B A_A Z I_I1
مراد 1.0	M U R A_A D_D
افسران 1.0	A F S A R A_A N
مشتی 1.0	M U_U S_H T_D I_I1
افراط 1.0	I F R A_A T_D
کھوکھلے 1.0	K_H O_O K_H L A_Y
روزوں 1.0	R O_O Z O_O_N
منافع 1.0	M U N A_A F A_A
ہوم 1.0	H O_O M
محویت 1.0	M A H V I J J A T_D
کاروبار 1.0	K A_A R O_O B A_A R
حزیں 1.0	H A Z I_I_N
تجزیہ 1.0	T_D A D_Z Z I J A_A
نیورو 1.0	N I_I1 O_O R O_O
چنیوٹی 1.0	T_S1 I N J O_O T I_I1
بعض 1.0	B A_A Z
کچوکے 1.0	K A T_S1 O_O K A_Y
پھانسی 1.0	P_H A_A N S I_I1
زلزلے 1.0	Z A L Z A L A_Y
احیا 1.0	I H J A_A
انیق 1.0	A N I_I1 Q
کیلئے 1.0	K A_Y L I A_Y
بجے 1.0	B A D_Z A_Y
تبدیلی 1.0	T_D A B D_D I_I1 L I_I1
ہیجڑا 1.0	H A_Y D_Z R_R A_A
ہے 1.0	H A_Y
چند 1.0	T_S1 A N D_D
شاہ 1.0	S_H A_A
باؤلر 1.0	B A U_U L A R
حوصلہ 1.0	H O S A L A_A
چنگیزی 1.0	T_S1 A N_G G A_Y Z I_I1
قصوروار 1.0	Q U S U_U R V A_A R
خریدوفروخت 1.0	X A R I_I1 D_D O_O F A R O_O X T_D
قبیح 1.0	Q A B I_I1 H
یوں 1.0	J U_U_N
ورژن 1.0	V A R Z_Z A N
خضر 1.0	X I Z R
غایت 1.0	G_G A_A J A T_D
میرے 1.0	M A_Y R A_Y
سکواڈرن 1.0	S A K U_U A D R A N
بائیوس 1.0	B A_A I_I1 O_O S
سچ 1.0	S A T_S1
ڈھانپ 1.0	D_H A_A M P
بھورا 1.0	B_H U_U R A_A
پرکھا 1.0	P A R K_H A_A
بھونڈی 1.0	B_H O_O N D I_I1
گودام 1.0	G U_U D_D A_A M
اپنی 1.0	A_A P N I_I1
سوئٹرز 1.0	S U_U A_Y T A R Z
جوڑیں 1.0	D_Z O_O R_R A_Y_N
یکساں 1.0	J A K S A_A_N
قدرتی 1.0	Q U D_D R A T_D I_I1
افغان 1.0	A F G_G A_A N
نسواں 1.0	N I S V A_A_N
نبوت 1.0	N A B U_U V A T_D
سرحد 1.0	S A R H A D_D
باآسانی 1.0	B A_A A_A S A_A N I_I1
باجوہ 1.0	B A_A D_Z V A_A
باولنگ 1.0	B A_A O_O L I N_G
مضائقہ 1.0	M U Z A_A A Q A_A
ملیشیا 1.0	M I L A_Y S_H I J A_A
قریب 1.0	Q A R I_I1 B
آشیانہ 1.0	A_A S_H J A_A N A_A
آدھی 1.0	A_A D_D_H I_I1
زعما 1.0	Z U A M A_A
طیبہ 1.0	T_D A J J I B A_A
کہا 1.0	K A H A_A
خوار 1.0	X A A R
شیروانی 1.0	S_H A_Y R V A_A N I_I1
مفلوج 1.0	M A F L U_U D_Z
گلریز 1.0	G U L R A_Y Z
اچنبھے 1.0	A T_S1 A M B_H A_Y
ازاں 1.0	A Z A_A_N
کھینچیں 1.0	K_H A_E1 N T_S1 A_Y_N
رشید 1.0	R A S_H I_I1 D_D
مصیبت 1.0	M U S I_I1 B A T_D
نئے 1.0	N A A_Y
دودھیا 1.0	D_D U_U D_D_H I J A_A
کرواؤ 1.0	K A R V A_A O_O
آیوڈین 1.0	A_A J O_O D I_I1 N
تشریف 1.0	T_D A S_H R I_I1 F
صبر 1.0	S A B R
سامنے 1.0	S A_A M N A_Y
کھو 1.0	K_H O_O
یونہی 1.0	J U_U N H I_I1
شدہ 1.0	S_H U D_D A_A
غیرملکی 1.0	G_G A_E1 R M U L K I_I1
دھاندلی 1.0	D_D_H A_A N D_D L I_I1
پانی 1.0	P A_A N I_I1
بیلز 1.0	B A_Y L Z
مشورہ 1.0	M A S_H V A R A_A
فیز 1.0	F A_Y Z
راقم 1.0	R A_A Q I M
مترادف 1.0	M U T_D A R A_A D_D I F
ڈگری 1.0	D I G R I_I1
گھونٹ 1.0	G_H O_O N T
آویزاں 1.0	A_A V A_Y Z A_A_N
فتحیاب 1.0	F A T_D H J A_A B
مفقود 1.0	M A F Q U_U D_D
مشتعل 1.0	M U S_H T_D A I L
بدسلوکی 1.0	B A D_D S U L U_U K I_I1
جال 1.0	D_Z A_A L
مرغبانی 1.0	M U R G_G B A_A N I_I1
گائیں 1.0	G A_A A_Y_N
پراٹھا 1.0	P A R A_A T_H A_A
افتادہ 1.0	U F T_D A_A D_D A_A
پروسیسنگ 1.0	P A R O_O S A_E1 S I N_G
منافعے 1.0	M U N A_A F A A_Y
عریاں 1.0	U R J A_A_N
جمشید 1.0	D_Z A M S_H A_Y D_D
ذریعے 1.0	Z A R I_I1 A_Y
بھروسہ 1.0	B_H A R O_O S A_A
ویجز 1.0	V A_Y D_Z I Z
گھونگٹ 1.0	G_H U_U N_G A T
غیب 1.0	G_G A_E1 B
نہ 1.0	N A_A
ہوشربا 1.0	H O_O S_H R U B A_A
سیکشن 1.0	S A_E1 K S_H A N
پردھان 1.0	P A R D_D_H A_A N
باہر 1.0	B A_A H A R
مائیکروویوز 1.0	M A_A I_I1 K R O_O V A_Y V Z
کوٹھی 1.0	K O_O T_H I_I1
کیں 1.0	K I_I_N
بیگز 1.0	B A_E1 G Z
نزلے 1.0	N A Z L A_Y
نرگس 1.0	N A R G I S
رخنہ 1.0	R A X N A_A
نقشے 1.0	N A Q S_H A_Y
تفہیم 1.0	T_D A F H I_I1 M
جھینگے 1.0	D_Z_H I_I1 N_G G A_Y
تحریک 1.0	T_D A H R I_I1 K
زمین 1.0	Z A M I_I1 N
سکے 1.0	S A K A_Y
محور 1.0	M A H V A R
مختلف 1.0	M U X T_D A L I F
سو 1.0	S O_O
نیم 1.0	N I_I1 M
مرضی 1.0	M A R Z I_I1
گینگ 1.0	G A_E1 N_G
احتجاج 1.0	A_Y H T_D A_Y D_Z A_A D_Z
چار 1.0	T_S1 A_A R
بقایاجات 1.0	B A Q A_A J A_A D_Z A_A T_D
جائیداد 1.0	D_Z A_A A_Y D_D A_A D_D
مقبوضہ 1.0	M A Q B U_U Z A_A
فیر 1.0	F A_E1 R
ٹیکنالوجیز 1.0	T A_E1 K N A_A L O_O D_Z I_I1 Z
ایسی 1.0	A_E1 S I_I1
ایز 1.0	I_I1 Z
پریمئر 1.0	P R I M I A R
کیسی 1.0	K A_Y S I_I1
درس 1.0	D_D A R S
لیب 1.0	L A_E1 B
مایوس 1.0	M A_A J U_U S
جھونپڑی 1.0	D_Z_H O_O M P A R_R I_I1
عہدیداروں 1.0	O_O_H H D_D A_Y D_D A_A R O_O_N
کمیونسٹ 1.0	K A M J O_O N I S T
مگسی 1.0	M A G S I_I1
شعروادب 1.0	S_H A_Y R O_O A D_D A B
ہم 1.0	H A M
پہچانے 1.0	P A_E_H H T_S1 A_A N A_Y
تغافل 1.0	T_D A G_G A_A F U L
آغاز 1.0	A_A G_G A_A Z
ڈیڈ 1.0	D A_E1 D
آخری 1.0	A_A X R I_I1
جاری 1.0	D_Z A_A R I_I1
بڑھائیں 1.0	B A R_R_H A_A A_Y_N
جھنجھلاہٹ 1.0	D_Z_H U N D_Z_H L A_A H A T
خلیفہ 1.0	X A L I_I1 F A_A
غالب 1.0	G_G A_A L I B
دھڑلے 1.0	D_D_H A R_R A L L A_Y
مصنف 1.0	M U S A N N I F
ڈبلیو 1.0	D A B L I J U_U
قضہ 1.0	Q A Z A_A
شخصے 1.0	S_H A X S A_Y
گود 1.0	G O_O D_D
پیکج 1.0	P A_E1 K I D_Z
مار 1.0	M A_A R
بلیچ 1.0	B A L I_I1 T_S1
لگے 1.0	L A G A_Y
ٹھکرا 1.0	T_H U K R A_A
راجیہ 1.0	R A_A D_Z J A_A
غبن 1.0	G_G A B A N
ہوشیاری 1.0	H O_O S_H J A_A R I_I1
تلخیاں 1.0	T_D A L X I J A_A_N
اعظم 1.0	A_A Z A M
حد 1.0	H A D_D
ڈیوڈ 1.0	D I J U_U D
اطالوی 1.0	I T_D A_A L V I_I1
بیگج 1.0	B A_E1 G I D_Z
ایمرجنسی 1.0	A_E1 M A R D_Z A N S I_I1
مشرق 1.0	M A S_H R I Q
تھے 1.0	T_D_H A_Y
روزافزوں 1.0	R O_O Z A F Z U_U_N
آئی 1.0	A_A I_I1
کینیڈین 1.0	K A_E1 N A_Y D I J A N
بیچ 1.0	B A_Y T_S1
بیہوش 1.0	B A_Y H O_O S_H
افشا 1.0	I F S_H A_A
چونتیس 1.0	T_S1 O_O_N T_D I_I1 S
دماغ 1.0	D_D I M A_A G_G
گیمز 1.0	G A_Y M Z
وژن 1.0	V I Z_Z A N
میگزین 1.0	M A_E1 G Z I_I1 N
گھڑیوں 1.0	G_H A R_R J O_O_N
پُلوں 1.0	P U L O_O_N
قریشی 1.0	Q U R A_E1 S_H I_I1
نو 1.0	N O
دیکھوں 1.0	D_D A_Y K_H U_U_N
منظر 1.0	M A N Z A R
کفار 1.0	K U F F A_A R
سروے 1.0	S A R V A_Y
مخل 1.0	M U X I L
میاؤں 1.0	M I J A_A U_U_N
باقی 1.0	B A_A Q I_I1
اداکاراؤں 1.0	A D_D A_A K A_A R A_A O_O_N
مقدار 1.0	M I Q D_D A_A R
سورج 1.0	S U_U R A D_Z
اوڑھے 1.0	O_O R_R_H A_Y
ڈکٹیشن 1.0	D I K T A_Y S_H A N
ماحول 1.0	M A_A H O_O L
قارئین 1.0	Q A_A R A I_I1 N
تعین 1.0	T_D A Y J J U N
تنفس 1.0	T_D A N A F F U S
سول 1.0	S O_O L
میرزا 1.0	M I_I1 R Z A_A
تقسیم 1.0	T_D A Q S I_I1 M
چغتائی 1.0	T_S1 U G_G T_D A_A I_I1
خچر 1.0	X A T_S1 T_S1 A R
زاید 1.0	Z A_A J I D_D
جدوجہد 1.0	D_Z I D_D O_O D_Z A H D_D
پرائیویسی 1.0	P A R A_A I_I1 V A_Y S I_I1
گیسیں 1.0	G A_E1 S A_Y_N
قوانین 1.0	Q A V A_A N I_I1 N
ڈالر 1.0	D A_A L A R
اشرف 1.0	A S_H R A F
لگی 1.0	L A G I_I1
بشیر 1.0	B A S_H I_I1 R
فروغ 1.0	F U R O_O G_G
تحریروں 1.0	T_D A H R I_I1 R O_O_N
بوئے 1.0	B O_O A_Y
سرفہرست 1.0	S A R A_Y F A H R I S T_D
دعوؤں 1.0	D_D A_A V O_O_N
پگڑیاں 1.0	P A G R_R I J A_A_N
حیات 1.0	H A J A_A T_D
فیری 1.0	F A_Y R I_I1
سیاست 1.0	S I J A_A S A T_D
تھانہ 1.0	T_D_H A_A N A_A
گولائی 1.0	G O L A_A I_I1
جوڑا 1.0	D_Z O_O R_R A_A
عزیزواقارب 1.0	A Z I_I1 Z O_O A Q A_A R I B
سفیر 1.0	S A F I_I1 R
مولوی 1.0	M O_O L V I_I1
تاریخ 1.0	T_D A_A R I_I1 X
تھر 1.0	T_D_H A R
مخزن 1.0	M A X Z A N
ہجوم 1.0	H U D_Z U_U M
نقلیں 1.0	N A Q L A_Y_N
پھوار 1.0	P_H U V A_A R
گریز 1.0	G U R A_Y Z
ٹرانسمیشن 1.0	T A R A_A N S M I_I1 S_H A N
بائیس 1.0	B A_A I_I1 S
سمجھتے 1.0	S A M A D_Z_H T_D A_Y
لیڈی 1.0	L A_Y D I_I1
معقول 1.0	M A_A Q U_U L
بھاگ 1.0	B_H A_A G
سکتا 1.0	S A K T_D A_A
جنوبی 1.0	D_Z U N U_U B I_I1
نمبر 1.0	N A M B A R
گاؤں 1.0	G A_A O_O_N
جا 1.0	D_Z A_A
چانپ 1.0	T_S1 A_A M P
قالین 1.0	Q A_A L I_I1 N
متعلق 1.0	M U T_D A A L L I Q
خاص 1.0	X A_A S
ہڑتال 1.0	H A R_R T_D A_A L
کافور 1.0	K A_A F U_U R
اٹھاسی 1.0	A T T_H A_A S I_I1
نومنتخب 1.0	N O_O M U N T_D A X A B
نارتھ 1.0	N A_A R T_D_H
پھینکا 1.0	P_H A_E_N K A_A
ڈیلروں 1.0	D I_I1 L A R O_O_N
نقاش 1.0	N A Q Q A_A S_H
کمپنیوں 1.0	K A M P A N I_I1 O_O_N
کیمپ 1.0	K A_E1 M P
اسلامی 1.0	I S L A_A M I_I1
ڈے 1.0	D A_Y
انجمن 1.0	A N D_Z U M A N
دیوی 1.0	D_D A_Y V I_I1
خریدیں 1.0	X A R I_I1 D_D A_Y_N
کوچے 1.0	K U_U T_S1 A_Y
بُدھی 1.0	B A D_D_H I_I1
گیسو 1.0	G A_E1 S U_U
الجھے 1.0	U L D_Z_H A_Y
گوشہ 1.0	G O_O S_H A_A
بم 1.0	B A M
سوال 1.0	S A V A_A L
معنویت 1.0	M A N A V I_I1 J A T_D
طلب 1.0	T_D A L A B
عشرت 1.0	I S_H R A T_D
کاربن 1.0	K A_A R B A N
بھٹو 1.0	B_H U T T O_O
غیررسمی 1.0	G_G A_E1 R R A S M I_I1
مفلس 1.0	M U F L I S
بکھر 1.0	B A K K_H A R
پرنم 1.0	P U R N A M
عقوبت 1.0	U Q U_U B A T_D
معاشی 1.0	M A Y A_A S_H I_I1
چھم 1.0	T_S_H A M
اٹھارہ 1.0	A T T_H A_A R A_A
تجربہ 1.0	T_D A D_Z A R B A_A
لہذا 1.0	L I H A_A Z A_A
سیارے 1.0	S A_E1 J A_A R A_Y
ربیعہ 1.0	R A B I_I1 A_A
ایریا 1.0	A_Y R I J A_A
تعالی 1.0	T_D A A_A L A_A
ترشول 1.0	T_D I R S_H U_U L
ادائیگیوں 1.0	A D_D A_A I_I1 G I_I1 O_O_N
زچگی 1.0	Z A T_S1 G I_I1
عذاب 1.0	A Z A_A B
فرخی 1.0	F A R R U X I_I1
فاؤنڈیشن 1.0	F A_A U_U N D A_Y S_H A N
گذر 1.0	G U Z A R
بلین 1.0	B I L I J A N
ذادہ 1.0	Z A_A D_D A_A
پرخلوص 1.0	P U R X U L U_U S
کبوتر 1.0	K A B U_U T_D A R
ڈام 1.0	D A_A M
غم 1.0	G_G A M
ٹراؤزر 1.0	T A R A_A U_U Z A R
مارچ 1.0	M A_A R T_S1
ذہنی 1.0	Z I H N I_I1
جلدی 1.0	D_Z A L D_D I_I1
چھور 1.0	T_S_H O_O R
کچھے 1.0	K A T_S1 T_S_H A_Y
فوقیت 1.0	F O Q I J J A T_D
پہنچ 1.0	P A H U N T_S1
فروزاں 1.0	F A R O_O Z A_A_N
فگار 1.0	F I G A_A R
چیز 1.0	T_S1 I_I1 Z
شوکیسوں 1.0	S_H O_O K A_Y S O_O_N
انگریزی 1.0	A N_G R A_Y Z I_I1
صبروتحمل 1.0	S A B R O_O T_D A H A M M U L
مجوزہ 1.0	M U D_Z A V V A Z A_A
الجھی 1.0	U L D_Z_H I_I1
لاکھا 1.0	L A_A K_H A_A
گھنگھور 1.0	G_H A N G_H O_O R
مضبوط 1.0	M A Z B U_U T_D
رضوان 1.0	R I Z V A_A N
تذبذب 1.0	T_D A Z A B Z U B
گلیشئیر 1.0	G A L A_E1 S_H I J A R
جے 1.0	D_Z A_E1
دریغ 1.0	D_D A R A_Y G_G
ایئر 1.0	A_Y A R
دکھ 1.0	D_D U K_H
مقابلوں 1.0	M U Q A_A B L O_O_N
بےجا 1.0	B A_Y D_Z A_A
راہگیر 1.0	R A_A H G I_I1 R
اچھے 1.0	A T_S_H T_S_H A_Y
غیر 1.0	G_G A_E1 R
اولولعزم 1.0	U_U L U_U L A Z M
درجے 1.0	D_D A R D_Z A_Y
امیج 1.0	I M A_E1 D_Z
بھینسیں 1.0	B_H A_E1 N S A_Y_N
مصروفیت 1.0	M A S R U_U F I_I1 J A T_D
ٹھیلے 1.0	T_H A_Y L A_Y
اڑانے 1.0	U R_R A_A N A_Y
سنتا 1.0	S U N T_D A_A
سائنسدانوں 1.0	S A_A I N S D_D A_A N O_O_N
حصے 1.0	H I S S A_Y
زیردست 1.0	Z A_Y R D_D A S T_D
سیورج 1.0	S I_I1 V R A_Y D_Z
سیج 1.0	S A_Y D_Z
دبائے 1.0	D_D A B A_A A_Y
منڈیوں 1.0	M A N D I_I1 O_O_N
سینٹر 1.0	S A_E1 N T A R
اٹھ 1.0	U T_H
آواز 1.0	A_A V A_A Z
نیون 1.0	N I_I1 O_O N
آپریشن 1.0	A_A P R A_Y S_H A N
جمگھٹا 1.0	D_Z A M G_H A T A_A
سمجھی 1.0	S A M D_Z_H I_I1
مصوروں 1.0	M U S O V V I R O_O_N
سکنجبین 1.0	S I K A N D_Z B I_I1 N
اخوندزادہ 1.0	A X V I N D_D Z A_A D_D A_A
لائیو 1.0	L A_A I_I1 V
دنگ 1.0	D_D A N_G
جلالہ 1.0	D_Z A L A_A L U H U
ایلیٹ 1.0	I_I1 L I_I1 T
پھیر 1.0	P_H A_Y R
چیلہ 1.0	T_S1 A_Y L A_A
بچھی 1.0	B I T_S_H I_I1
فورم 1.0	F O_O R A M
پہاڑ 1.0	P A H A_A R_R
واقع 1.0	V A_A Q A_Y
اعانت 1.0	A_Y A_A N A T_D
زخمی 1.0	Z A X M I_I1
صفحہ 1.0	S A F H A_A
سوئیوں 1.0	S U_U I_I1 O_O_N
لکھتے 1.0	L I K_H T_D A_Y
سیراب 1.0	S A_E1 R A_A B
تمغوں 1.0	T_D A M G_G O_O_N
پڑھی 1.0	P A R_R_H I_I1
فن 1.0	F A N
اوزار 1.0	O Z A_A R
فارسی 1.0	F A_A R S I_I1
بدصورت 1.0	B A D_D S U_U R A T_D
صعوبتیں 1.0	S U U_U B A T_D A_Y_N
متحدہ 1.0	M U T_D T_D A H I D_D A_A
پہل 1.0	P A_E_H H A L
ننھا 1.0	N A N_H N_H A_A
طرح 1.0	T_D A R H
پالیسیوں 1.0	P A_A L I_I1 S I J O_O_N
چوتھے 1.0	T_S1 O_O T_D_H A_Y
لگانے 1.0	L A G A_A N A_Y
اسقاط 1.0	I S Q A_A T_D
گھنیری 1.0	G_H A N A_Y R I_I1
ضد 1.0	Z I D_D
لو 1.0	L O_O
شادی 1.0	S_H A_A D_D I_I1
توسیعی 1.0	T_D O S I_I1 I_I1
ایڈجسٹ 1.0	A_E1 D D_Z A S T
چیونگم 1.0	T_S1 I J U_U N_G G A M
ڈرائیونگ 1.0	D A R A_A I_I1 V I N_G
مالیخولیا 1.0	M A_A L I_I1 X O_O L I J A_A
فورس 1.0	F O_O R S
زلفی 1.0	Z U L F I_I1
دشت 1.0	D_D A S_H T_D
منحوس 1.0	M A N H U_U S
بوسنیائی 1.0	B O S N I J A_A I_I1
سیدھا 1.0	S I_I1 D_D_H A_A
بنولہ 1.0	B I N O L A_A
تخلص 1.0	T_D A X A L L U S
ظہر 1.0	Z O_O_H H R
اندھادھند 1.0	A N D_D_H A_A D_D_H U N D_D
جنم 1.0	D_Z A N A M
دھوم 1.0	D_D_H U_U M
